delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,1000,exp,55,7,4,space,0.44709240000520367,None,2,1,[0.9627349000074901],[0.9627493000007235],4,7,55,7,280.85647299999255,,280.84130109999387,280.85647299999255,281.85604139999487,281.85604139999487,281.85604139999487,282.3062027999986,space,0.44709240000520367,None,282.3071146000002,282.72145736666084,283.0261065999948,283.017599800005,283.01795569999376,283.0261065999948,283.0261065999948,283.0261065999948,283.9892598000006,2,1,[0.9627349000074901],[0.9627493000007235],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,1000,exp,56,8,4,space,0.5297034999966854,None,,1,[0.3416406000033021],[0.34164919999602716],4,8,56,8,284.00375849999546,,283.98961710000003,284.00375849999546,285.00321159999294,285.00321159999294,285.00321159999294,285.53647599999385,space,0.5297034999966854,None,285.5374993000005,286.25197856667023,286.56111039999814,286.54943299999286,286.55133339999884,286.56111039999814,286.56111039999814,286.56111039999814,286.9031046000018,,1,[0.3416406000033021],[0.34164919999602716],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,1000,exp,57,9,4,space,2.485320599997067,None,3,1,[1.617538099992089],[1.6175459999940358],4,9,57,9,286.91781040000205,,286.9033199999976,286.91781040000205,287.9175736000034,287.9175736000034,287.9175736000034,290.41636740000104,space,2.485320599997067,None,290.41752740000084,290.51546756666016,290.8309193000023,290.81767400000535,290.8216004999995,290.8309193000023,290.8309193000023,290.8309193000023,292.44874150000396,3,1,[1.617538099992089],[1.6175459999940358],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,1000,exp,58,10,4,space,0.6763732000108575,None,2,1,[5.590171600008034],[5.590194400007022],4,10,58,10,292.4635230999993,,292.4489908999967,292.4635230999993,293.4630401000031,293.4630401000031,293.4630401000031,294.1465596000053,space,0.6763732000108575,None,294.14768090000143,294.5622758666616,294.87566229999356,294.8615179000044,294.8621223999944,294.87566229999356,294.87566229999356,294.87566229999356,300.4664800000028,2,1,[5.590171600008034],[5.590194400007022],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,1000,exp,59,11,4,space,0.4737939000042388,None,3,1,[0.989831899991259],[0.9898524000018369],4,11,59,11,300.4736516999983,,300.4669905000046,300.4736516999983,301.4728882000054,301.4728882000054,301.4728882000054,301.9568360999983,space,0.4737939000042388,None,301.9579197999992,302.6717609666705,302.98149390000617,302.9692563999997,302.9698600999982,302.98149390000617,302.98149390000617,302.98149390000617,303.9716936000041,3,1,[0.989831899991259],[0.9898524000018369],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,400,unexp,60,0,5,space,0.2966720999975223,None,2,1,[1.2227927000058116],[1.2228142999956617],5,0,60,0,303.98758659999294,,303.9720265999931,303.98758659999294,304.9868049999932,304.9868049999932,304.9868049999932,305.28719329999876,space,0.2966720999975223,None,305.2878294999973,305.4027731666613,305.71505840000464,305.6989004999923,305.69950610000524,305.71505840000464,305.71505840000464,305.71505840000464,306.9384197000036,2,1,[1.2227927000058116],[1.2228142999956617],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,400,unexp,61,1,5,space,0.43138019999605604,None,5 ,1,[1.428780000002007],[1.4287986999988789],5,1,61,1,306.95174459999544,,306.93888430000516,306.95174459999544,307.9510772999929,307.9510772999929,307.9510772999929,308.38426819999586,space,0.43138019999605604,None,308.3851855999965,308.7836519666637,309.0904481000034,309.07790590000513,309.07851479999954,309.0904481000034,309.0904481000034,309.0904481000034,310.5196656000044,5 ,1,[1.428780000002007],[1.4287986999988789],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,400,unexp,62,2,5,space,0.9476611999998568,None,2,1,[1.4844353999942541],[1.4844503000058467],5,2,62,2,310.5319216999924,,310.52007660000527,310.5319216999924,311.53136670000094,311.53136670000094,311.53136670000094,312.4810421000002,space,0.9476611999998568,None,312.4816429999919,313.19648046666794,313.5136382000055,313.49713099999644,313.5008513999928,313.5136382000055,313.5136382000055,313.5136382000055,314.9984678000037,2,1,[1.4844353999942541],[1.4844503000058467],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,1000,exp,63,3,5,space,0.37365649999992456,None,1,1,[1.5285862000018824],[1.528596900010598],5,3,63,3,315.01173660000495,,314.9988045999926,315.01173660000495,316.0111424999923,316.0111424999923,316.0111424999923,316.3948604000034,space,0.37365649999992456,None,316.3960400999931,316.4942285666659,316.7978691000026,316.7900462999969,316.79067479999503,316.7978691000026,316.7978691000026,316.7978691000026,318.3267555999919,1,1,[1.5285862000018824],[1.528596900010598],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,1000,exp,64,4,5,space,1.38098249999166,None,5,1,[0.9430684000108158],[0.9430794000072638],5,4,64,4,318.34209580000606,,318.32703269999183,318.34209580000606,319.3414996999927,319.3414996999927,319.3414996999927,320.7242244999943,space,1.38098249999166,None,320.72468889999436,321.1235897666668,321.43235149999964,321.41895289999957,321.41958950000117,321.43235149999964,321.43235149999964,321.43235149999964,322.375749800005,5,1,[0.9430684000108158],[0.9430794000072638],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
